MES;SUDESTE
jan/26;247,36
fev/26;382,41
jul/22;66,32
ago/22;76,9
set/22;56,08
out/22;55,7
nov/22;55,7
dez/22;55,7
jul/20;89,04
ago/20;85,15
set/20;100,84
out/20;288,64
nov/20;502,7
dez/20;267,49
jan/23;69,04
fev/23;69,04
mar/23;69,04
abr/23;69,04
mai/23;69,04
jun/23;69,04
jan/21;242,72
fev/21;165,98
mar/21;109,02
abr/21;132,63
mai/21;218,7
jun/21;336,99
jul/23;69,04
ago/23;69,04
set/23;80,37
out/23;74,84
nov/23;84,4
dez/23;74,09
jan/20;327,38
fev/20;154,44
mar/20;81,86
abr/20;39,68
mai/20;71,95
jun/20;114,79
jan/24;61,14
fev/24;61,2
mar/24;61,07
abr/24;61,07
mai/24;61,07
jun/24;66,41
jan/19;192,1
fev/19;443,66
mar/19;234,49
abr/19;180,41
mai/19;135,17
jun/19;78,52
jul/25;210,02
ago/25;287,17
set/25;260,35
out/25;250,19
nov/25;278,18
dez/25;265,89
jul/19;185,52
ago/19;237,29
set/19;219,57
out/19;273,89
nov/19;317,28
dez/19;227,3
jul/24;87,07
ago/24;118,79
set/24;307,59
out/24;480,78
nov/24;103,51
dez/24;64,8
jan/25;59,21
fev/25;93,76
mar/25;327,32
abr/25;202,18
mai/25;212,58
jun/25;234,71
jul/21;583,88
ago/21;583,88
set/21;577,37
out/21;249,36
nov/21;88,1
dez/21;66,67
jan/22;62,91
fev/22;55,7
mar/22;55,7
abr/22;55,7
mai/22;55,7
jun/22;55,71
